reference_entity,auction_date,currency,final_price,initial_market_midpoint,net_open_interest_amount,net_open_interest_direction,transaction_type,ticker,url,source,title
Collins & Aikman Products Co.,2005-06-14,,43.625,,,,Senior,CKC-Prod,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CKC-Prod,creditfixings,Collins & Aikman Products Co. Credit Event Auction
Collins & Aikman Products Co.,2005-06-23,,6.375,,,,Subordinated,CKC-Prod,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CKC-Prod,creditfixings,Collins & Aikman Products Co. Credit Event Auction
"Delta Air Lines, Inc.",2005-10-11,,18.0,,,,Senior,DAL,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DAL,creditfixings,"Delta Air Lines, Inc. Credit Event Auction"
"Northwest Airlines, Inc.",2005-10-11,,28.0,,,,Senior,NWAC-Inc,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=NWAC-Inc,creditfixings,"Northwest Airlines, Inc. Credit Event Auction"
Delphi Corporation,2005-11-04,,63.375,,,,Senior,DPH,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DPH,creditfixings,Delphi Corporation Credit Event Auction
Calpine Corporation,2006-01-17,,19.125,,,,Senior,CPN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CPN,creditfixings,Calpine Corporation Credit Event Auction
DANA CORPORATION,2006-03-31,,75.0,,,,Senior,DCN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DCN,creditfixings,DANA CORPORATION Credit Event Auction
Dura Operating Corp.,2006-11-28,,3.5,,,,Subordinated,DRRA-OpCo,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DRRA-OpCo,creditfixings,Dura Operating Corp. Credit Event Auction
Dura Operating Corp.,2006-11-28,,24.125,,,,Senior,DRRA-OpCo,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DRRA-OpCo,creditfixings,Dura Operating Corp. Credit Event Auction
"Movie Gallery, Inc.",2007-10-23,,91.5,,,,Lien 1,MOVG,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=MOVG,creditfixings,"Movie Gallery, Inc. Credit Event Auction"
Quebecor World Inc.,2008-02-19,,41.25,,,,Senior,IQWCN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=IQWCN,creditfixings,Quebecor World Inc. Credit Event Auction
TEMBEC INDUSTRIES INC.,2008-10-02,,83.0,,,,Senior,TEMBEC-Inds,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TEMBEC-Inds,creditfixings,TEMBEC INDUSTRIES INC. Credit Event Auction
Federal Home Loan Mortgage Corporation,2008-10-06,,94.0,,,,Senior,FHLMC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=FHLMC,creditfixings,Federal Home Loan Mortgage Corporation Credit Event Auction
Federal Home Loan Mortgage Corporation,2008-10-06,,98.0,,,,Subordinated,FHLMC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=FHLMC,creditfixings,Federal Home Loan Mortgage Corporation Credit Event Auction
Federal National Mortgage Association,2008-10-06,,91.51,,,,Senior,FNMA,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=FNMA,creditfixings,Federal National Mortgage Association Credit Event Auction
Federal National Mortgage Association,2008-10-06,,99.9,,,,Subordinated,FNMA,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=FNMA,creditfixings,Federal National Mortgage Association Credit Event Auction
Lehman Brothers Holdings Inc.,2008-10-10,,8.625,,,,Senior,LEH,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LEH,creditfixings,Lehman Brothers Holdings Inc. Credit Event Auction
"Washington Mutual, Inc.",2008-10-23,,57.0,,,,Senior,WM,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=WM,creditfixings,"Washington Mutual, Inc. Credit Event Auction"
Landsbanki Islands hf,2008-11-04,,0.125,,,,Subordinated,LANISL,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LANISL,creditfixings,Landsbanki Islands hf Credit Event Auction
Landsbanki Islands hf,2008-11-04,,1.25,,,,Senior,LANISL,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LANISL,creditfixings,Landsbanki Islands hf Credit Event Auction
Glitnir banki hf.,2008-11-05,,0.125,,,,Subordinated,GLTNR,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GLTNR,creditfixings,Glitnir banki hf. Credit Event Auction
Glitnir banki hf.,2008-11-05,,3.0,,,,Senior,GLTNR,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GLTNR,creditfixings,Glitnir banki hf. Credit Event Auction
Kaupthing banki hf.,2008-11-06,,2.375,,,,Subordinated,KAUPBN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=KAUPBN,creditfixings,Kaupthing banki hf. Credit Event Auction
Kaupthing banki hf.,2008-11-06,,6.625,,,,Senior,KAUPBN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=KAUPBN,creditfixings,Kaupthing banki hf. Credit Event Auction
Masonite International Corporation,2008-12-09,,52.5,,,,Lien 1,MINT,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=MINT,creditfixings,Masonite International Corporation Credit Event Auction
"Hawaiian Telcom Communications, Inc.",2008-12-17,,40.125,,,,Lien 1,HTC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=HTC,creditfixings,"Hawaiian Telcom Communications, Inc. Credit Event Auction"
Tribune Company,2009-01-06,,1.5,,,,Senior,TRB,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TRB,creditfixings,Tribune Company Credit Event Auction
Tribune Company,2009-01-06,,23.75,,,,Lien 1,TRB,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TRB,creditfixings,Tribune Company Credit Event Auction
Republic of Ecuador,2009-01-14,USD,31.375,,,,Senior,ECUA,https://www.cdsdeterminationscommittees.org/cds/republic-of-ecuador/,creditfixings,Republic of Ecuador Credit Event Auction
"Equistar Chemicals, LP",2009-02-03,,27.5,,,,Senior,EQCHEM,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=EQCHEM,creditfixings,"Equistar Chemicals, LP Credit Event Auction"
Lyondell Chemical Company,2009-02-03,,15.5,,,,Senior,LYO,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LYO,creditfixings,Lyondell Chemical Company Credit Event Auction
Lyondell Chemical Company,2009-02-03,,20.75,,,,Lien 1,LYO,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LYO,creditfixings,Lyondell Chemical Company Credit Event Auction
MILLENNIUM AMERICA INC.,2009-02-03,,7.125,,,,Senior,LYO-America,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LYO-America,creditfixings,MILLENNIUM AMERICA INC. Credit Event Auction
Sanitec Oy,2009-02-05,,33.5,,,,Lien 1,Sanitec-B05,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Sanitec-B05,creditfixings,Sanitec Oy Credit Event Auction
Sanitec Oy,2009-02-05,,4.0,,,,Lien 2,Sanitec-D05,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Sanitec-D05,creditfixings,Sanitec Oy Credit Event Auction
British Vita,2009-02-09,,15.5,,,,Lien 1,Britvita-A05,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Britvita-A05,creditfixings,British Vita Credit Event Auction
British Vita,2009-02-09,,2.875,,,,Lien 2,Britvita-B05,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Britvita-B05,creditfixings,British Vita Credit Event Auction
Nortel Networks Corporation,2009-02-10,,12.0,,,,Senior,NT,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=NT,creditfixings,Nortel Networks Corporation Credit Event Auction
Nortel Networks Limited,2009-02-10,,6.5,,,,Senior,NT-Ltd,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=NT-Ltd,creditfixings,Nortel Networks Limited Credit Event Auction
"Smurfit-Stone Container Enterprises, Inc.",2009-02-19,,8.875,,,,Senior,SSCC-SSCE,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=SSCC-SSCE,creditfixings,"Smurfit-Stone Container Enterprises, Inc. Credit Event Auction"
"Smurfit-Stone Container Enterprises, Inc.",2009-02-19,,65.375,,,,Lien 1,SSCC-SSCE,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=SSCC-SSCE,creditfixings,"Smurfit-Stone Container Enterprises, Inc. Credit Event Auction"
Ferretti- Credit Agreement (EuroCA3Y529M),2009-02-26,,10.875,,,,Lien 1,Ferretti-A07,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Ferretti-A07,creditfixings,Ferretti- Credit Agreement (EuroCA3Y529M) Credit Event Auction
"Aleris International, Inc.",2009-03-09,,8.0,,,,Lien 1,ARS,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=ARS,creditfixings,"Aleris International, Inc. Credit Event Auction"
"STATION CASINOS, INC.",2009-03-31,,32.0,,,,Senior,STN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=STN,creditfixings,"STATION CASINOS, INC. Credit Event Auction"
Chemtura Corporation,2009-04-14,,15.0,,,,Senior,CEM,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CEM,creditfixings,Chemtura Corporation Credit Event Auction
Great Lakes Chemical Corporation,2009-04-14,,18.25,,,,Senior,GLK,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GLK,creditfixings,Great Lakes Chemical Corporation Credit Event Auction
The Rouse Company LP,2009-04-15,,29.25,,,,Senior,GGP-RSELP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GGP-RSELP,creditfixings,The Rouse Company LP Credit Event Auction
LyondellBasell Industries AF S.C.A.,2009-04-16,,2.0,,,,Senior,AIND-LYON,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=AIND-LYON,creditfixings,LyondellBasell Industries AF S.C.A. Credit Event Auction
ABITIBI-CONSOLIDATED INC.,2009-04-17,,3.25,,,,Senior,ABY,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=ABY,creditfixings,ABITIBI-CONSOLIDATED INC. Credit Event Auction
"CHARTER COMMUNICATIONS HOLDINGS, LLC",2009-04-21,,2.375,,,,Senior,CHTR-Holdings,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CHTR-Holdings,creditfixings,"CHARTER COMMUNICATIONS HOLDINGS, LLC Credit Event Auction"
"Charter Communications Operating, LLC",2009-04-21,,78.0,,,,Lien 1,CHTR-Operating,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CHTR-Operating,creditfixings,"Charter Communications Operating, LLC Credit Event Auction"
Capmark Financial Group Inc.,2009-04-22,,23.375,,,,Senior,CAPFIN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CAPFIN,creditfixings,Capmark Financial Group Inc. Credit Event Auction
Idearc Inc.,2009-04-23,,38.5,,,,Lien 1,IAR,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=IAR,creditfixings,Idearc Inc. Credit Event Auction
Idearc Inc.,2009-04-23,,1.75,,,,Senior,IAR,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=IAR,creditfixings,Idearc Inc. Credit Event Auction
Bowater Incorporated,2009-05-12,,15.0,,,,Senior,BOW,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=BOW,creditfixings,Bowater Incorporated Credit Event Auction
