date,committee,reference_entity,issue_number,credit_event_type,decision,doc_type,url,source,title,tags,auction_date,auction_held
2009-12-09,EMEA,Hellas Telecommunications,,Bankruptcy,Determination published,decision,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_2009091203.pdf,reference,EMEA Determinations Committee Decision - Hellas,,,False
2010-03-26,Americas,Ambac Assurance Corporation,4000,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,dc-isda,Ambac Assurance Corporation,auction,2010-06-04,True
2010-05-07,Americas,Ambac Assurance Corporation,0325201001,,Determination published,decision,https://www.cdsdeterminationscommittees.org/docs/050710DeterminationsCommitteeDecision0325201001.pdf,reference,Determinations Committee Decision - Ambac,,,False
2010-06-29,EMEA,TRUVO SUBSIDIARY CORP.,3000,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,dc-isda,TRUVO SUBSIDIARY CORP.,auction,2010-07-15,True
2010-11-09,Americas,"Ambac Financial Group, Inc.",9001,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,dc-isda,"Ambac Financial Group, Inc.",auction,2010-12-10,True
2010-11-23,EMEA,ANGLO IRISH BANK CORPORATION LIMITED,9008,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,dc-isda,ANGLO IRISH BANK CORPORATION LIMITED,auction,2011-02-02,True
2010-11-24,EMEA,ANGLO IRISH BANK CORPORATION LIMITED,9002,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,dc-isda,ANGLO IRISH BANK CORPORATION LIMITED,auction,2010-12-09,True
2011-02-02,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/offering-memorandum-dated-2-february-2011.pdf/,document-feed,Offering Memorandum dated 2 February 2011 – Latest Revision,,,False
2011-06-16,EMEA,ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,9009,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/allied-irish-banks-plc-3/,dc-isda,ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,auction,2011-06-30,True
2011-07-05,EMEA,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,9013,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,dc-isda,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,auction,2011-07-29,True
2011-07-11,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2014/03/blackline-dc-rules-2014-vs-dc-rules-published-july-11-2011.pdf/,document-feed,"Blackline – DC Rules 2014 vs DC Rules published July 11, 2011 – Latest Revision",,,False
2011-07-11,EMEA,The Governor and Company of the Bank of Ireland,9012,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,dc-isda,The Governor and Company of the Bank of Ireland,auction,2011-07-28,True
2011-07-15,Japan,"Victor Company of Japan, Limited",9026,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/victor-company-of-japan-limited/,dc-isda,"Victor Company of Japan, Limited",auction,2011-11-09,True
2011-08-25,EMEA,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,9025,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc-august-restructuring/,dc-isda,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,auction,2011-10-05,True
2011-10-27,EMEA,SEAT PAGINE GIALLE S.P.A.,9030,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/seat-paginegialle-s-p-a-2/,dc-isda,SEAT PAGINE GIALLE S.P.A.,auction,2011-12-09,True
2011-11-08,Americas,"DYNEGY HOLDINGS, LLC",9028,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/dynegy-holdings-llc/,dc-isda,"DYNEGY HOLDINGS, LLC",auction,2011-11-29,True
2011-11-16,EMEA,"Panrico, S.L. Unipersonal",9011,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/lcds/panrico-credit-event/,dc-isda,"Panrico, S.L. Unipersonal",auction,2011-11-23,True
