reference_entity,determination_date,committee,origin,doc_kind,doc_title,source_page,file_url,local_path,content_type,bytes,sha256,fetched_at,text_chars,text_path
Hellas Telecommunications,2009-12-09,EMEA,determination,decision,8a3110f74ff7__EMEA_Determinations_Committee_Decision_2009091203.pdf,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_2009091203.pdf,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_2009091203.pdf,data/docs/8a3110f74ff7__EMEA_Determinations_Committee_Decision_2009091203.pdf,application/pdf,17756,8a3110f74ff720001fee0001b1669bcfa70597dd1b411e2999cfb0fb1be885be,2026-06-08T05:05:12+00:00,1044,data/doctext/8a3110f74ff7.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,http://www.cdsdeterminationscommittees.org/companies/ISDACreditAuctionTimeline.pdf,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ISDACreditAuctionTimeline.pdf,data/docs/75beefefd2bb__ISDACreditAuctionTimeline.pdf,application/pdf,268711,75beefefd2bbdf6617956ec0958fd7ba358c245ec62ad6659a41c908e741852c,2026-06-08T05:05:15+00:00,14153,data/doctext/75beefefd2bb.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,auction_results,Final list,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ambac/docs/20100601-Ambac-Final-List.xls,data/docs/31cc8532c6c9__20100601-Ambac-Final-List.xls,application/vnd.ms-excel,57856,31cc8532c6c9b8eaa2bf79e513990b239084584adaac18b43f0ecdc6c06b93d0,2026-06-08T05:05:15+00:00,0,
Ambac Assurance Corporation,2010-03-26,Americas,determination,statement,Statement regarding certain Obligations submitted for purposes of the Ambac Supplemental List,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ambac/docs/Ambac_Statement-Deliverability-of-Certain-Obligations.pdf,data/docs/b60ca969c61a__Ambac_Statement-Deliverability-of-Certain-Obligations.pdf,application/pdf,13296,b60ca969c61a1da5dcc3fd02f87ce165720d9296ef06660f8e753631a3df5cd4,2026-06-08T05:05:16+00:00,4717,data/doctext/b60ca969c61a.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,statement,Guidance on calculation of outstanding principal balance,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ambac/docs/Ambac-Guidance-Statement.pdf,data/docs/1ccd3e3058c0__Ambac-Guidance-Statement.pdf,application/pdf,34007,1ccd3e3058c00faad4b0d325e9b4f88efe3229d9124c9413b64f0a583aae82dd,2026-06-08T05:05:16+00:00,5681,data/doctext/1ccd3e3058c0.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,auction_settlement_terms,AMBAC CDS Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ambac/docs/Ambac-AST.pdf,data/docs/886ce76581d2__Ambac-AST.pdf,application/pdf,241982,886ce76581d29827370fbefa16053471dee84cb864cc2b51f9f75699613fef9e,2026-06-08T05:05:23+00:00,162513,data/doctext/886ce76581d2.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,auction_settlement_terms,Blackline against CEMEX CDS Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ambac/docs/Ambac-AST-BlacklineVsCemex.pdf,data/docs/d5103a84ba47__Ambac-AST-BlacklineVsCemex.pdf,application/pdf,353898,d5103a84ba47c19d006e1e1da8f06c87218c66e893da324373f9b7f8706ecc75,2026-06-08T05:05:31+00:00,165475,data/doctext/d5103a84ba47.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,auction_settlement_terms,Blackline against Japan Airlines Corporation CDS Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/companies/ambac/docs/Ambac-AST-BlacklineVsJal.pdf,data/docs/eb27ea0a4251__Ambac-AST-BlacklineVsJal.pdf,application/pdf,452219,eb27ea0a4251f8fb3a5f981309b3697f8fb9d4a718538ae0d46113529808543f,2026-06-08T05:05:41+00:00,189436,data/doctext/eb27ea0a4251.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 052810,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/201005282010032501DCDecision.pdf,data/docs/536887e37d43__201005282010032501DCDecision.pdf,application/pdf,50393,536887e37d4391c6fd058c936627fa0a090e6c1640e2f87de27a12c1983bf5e1,2026-06-08T05:05:42+00:00,6829,data/doctext/536887e37d43.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 052710,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/2010032501DeterminationsCommitteeDecision052710_2_.pdf,data/docs/09af7338f70b__2010032501DeterminationsCommitteeDecision052710_2_.pdf,application/pdf,93863,09af7338f70b3dffe3ab65fc546c9173367aafadefb9e2c29e8834b24cb507bc,2026-06-08T05:05:43+00:00,9388,data/doctext/09af7338f70b.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 052710,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/2010032501DeterminationsCommitteeDecision052710.pdf,data/docs/b40424fe9c02__2010032501DeterminationsCommitteeDecision052710.pdf,application/pdf,87349,b40424fe9c0231f68f6c8c9ba4013320f878f9efa96025f6889db8a688e09606,2026-06-08T05:05:44+00:00,2431,data/doctext/b40424fe9c02.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 052610,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/2010032501DeterminationsCommittee Decision052610.pdf,data/docs/62f262abc76e__2010032501DeterminationsCommittee_Decision052610.pdf,application/pdf,77793,62f262abc76e5c90d91e3db85119b8666dae77b900e05cf2a2d9bb78c3d6e691,2026-06-08T05:05:45+00:00,6739,data/doctext/62f262abc76e.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 052110,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/201005212010032501DCDecision.pdf,data/docs/3420c31046e3__201005212010032501DCDecision.pdf,application/pdf,100188,3420c31046e328ba25b5d2ca2936a6dad2bc73b03ea513be548dc9adfd259f39,2026-06-08T05:05:47+00:00,20572,data/doctext/3420c31046e3.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 051410,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/2010032501DeterminationsCommittee Decision051410.pdf,data/docs/92d1f404c4ac__2010032501DeterminationsCommittee_Decision051410.pdf,application/pdf,33076,92d1f404c4acf6bfe8b27d5e007461557ca1c70caf7d4a5fe4bc1c615f20454c,2026-06-08T05:05:48+00:00,1967,data/doctext/92d1f404c4ac.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 051210,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/2010032501DeterminationsCommitteeDecision051210.pdf,data/docs/9fa72ead4c0c__2010032501DeterminationsCommitteeDecision051210.pdf,application/pdf,39258,9fa72ead4c0ca0480e64ba594df36eabb60753e5beda5deecc108da53a5a420b,2026-06-08T05:05:48+00:00,1385,data/doctext/9fa72ead4c0c.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 050710,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/050710DeterminationsCommitteeDecision0325201001.pdf,data/docs/99f41c209af8__050710DeterminationsCommitteeDecision0325201001.pdf,application/pdf,63363,99f41c209af8ff63524409108dbec9e7f093c2a321ac8fd8524672ee2db94e29,2026-06-08T05:05:49+00:00,1467,data/doctext/99f41c209af8.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 042710,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/20100427 2010032501 DC Decision.pdf,data/docs/3b0b17c34202__20100427_2010032501_DC_Decision.pdf,application/pdf,61798,3b0b17c34202a81a6ea6f39df90ad4e7589e1485d1d372e66ba8dfff7d9384e4,2026-06-08T05:05:50+00:00,6019,data/doctext/3b0b17c34202.txt
