status,reference_entity,determination_date,committee,doc_kind,doc_title,source_page,file_url,expected_bytes,expected_sha256,local_path,sha256,bytes,fetched_at,notes
pending,Hellenic Republic,2012-03-09,EMEA,document,Link to Press,https://www.cdsdeterminationscommittees.org/cds/the-hellenic-republic-3/,http://www.isda.org/uploadfiles/_docs/Press_Release_6_March_2012.pdf,61104,f599aca8da2907d807e9f02265c14695b228ec2b2d670fff148c994563fd9fc8,,,,,
pending,Hellenic Republic,2012-03-09,EMEA,document,Link to Press,https://www.cdsdeterminationscommittees.org/cds/the-hellenic-republic-3/,http://www.isda.org/uploadfiles/_docs/Press_Release_9_March_2012.pdf,63952,149802ba7f89119b89fcd9e5d9659ff03ef7bd5a321a8d05dc1c571d0265ffbb,,,,,
pending,Hellenic Republic,2012-03-09,EMEA,document,Link to PDF document,https://www.cdsdeterminationscommittees.org/cds/the-hellenic-republic-3/,http://www.isda.org/uploadfiles/_docs/Act_of_the_Bank_of_Greece_9_March_2012.pdf,20125,5bcf6f10b35fe4418e8ab97ba3ff786419f047fb15a0f1daa923442cfdbe1a0d,,,,,
pending,Hellenic Republic,2012-03-09,EMEA,document,Link to PDF document,https://www.cdsdeterminationscommittees.org/cds/the-hellenic-republic-3/,http://www.isda.org/uploadfiles/_docs/FEK_50_9_3_2012.pdf,302712,d7f530a74fbc99ff97e1175f6e0091e18af8e3091712141ce684450e4dd08c85,,,,,
pending,ERC Ireland Finance Limited,2012-03-16,EMEA,decision,Determinations Committee: ERC Ireland Finance Limited Failure to Pay Credit Event,https://www.cdsdeterminationscommittees.org/cds/erc-ireland-finance-limited/,http://www2.isda.org/attachment/NDEyOQ==/ERC_Ireland_Finance_Limited_a_Failure_to_Pay_Credit_Event_Final.pdf,88938,811c66c5566e49cdfb528d73d7a0056582c97fb4e727892df6f1c38620a5343b,,,,,
pending,SINO-FOREST CORPORATION,2012-04-02,Asia ex-Japan,auction_results,Final List of Deliverable Obligations,https://www.cdsdeterminationscommittees.org/cds/sino-forest-corporation-2/,http://www.isda.org/companies/SinoForestCorporation/docs/ICM-14921141-v1-Sino-Forest_Corporation_-_Final_List.pdf,50396,bebe9971bf31be5511596cf3e83fa8e60523044ff1030bc549862fc1636e3053,,,,,
pending,SINO-FOREST CORPORATION,2012-04-02,Asia ex-Japan,auction_settlement_terms,Auction Settlement Terms for Sino-Forest Corporation,https://www.cdsdeterminationscommittees.org/cds/sino-forest-corporation-2/,http://www.isda.org/companies/SinoForestCorporation/docs/ICM-14828227-v4-Sino-Forest_Corporation_-_Auction_Settlement_Terms.pdf,346212,2f00493ac9a3a65f2db61ef4fd48b9617026d28a07f97af4c13869c1796f4359,,,,,
pending,SINO-FOREST CORPORATION,2012-04-02,Asia ex-Japan,auction_settlement_terms,Blackline against the 2012 ERC Ireland Finance Limited Credit Derivatives Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/sino-forest-corporation-2/,http://www.isda.org/companies/SinoForestCorporation/docs/ICM-14920442-v1-DVComparison_ICM-14680369-v4-ERC_Ireland_Finance_Limited_-_Auction_Settlement_Terms-ICM-14828227-v4-Sino-Forest_Corporation_-.pdf,369814,7283d8b8933931d43638b8b67d298dda9f0ccb8413f1c5ed185ddf5209402eea,,,,,
pending,SINO-FOREST CORPORATION,2012-04-02,Asia ex-Japan,decision,Determinations Committee: Sino-Forest Corporation Bankruptcy Credit Event,https://www.cdsdeterminationscommittees.org/cds/sino-forest-corporation-2/,http://www2.isda.org/attachment/NDMwNA==/ISDA_AEJ_Determinations_Committee_Sino-Forest_Corporation_Credit%20Event_Final.pdf,138104,a6475953e12aed343f0f6869a0b2dbe46cf1d9dc17f676982afd44e04d3f8c6e,,,,,
pending,"Caesars Entertainment Operating Company, Inc.",2015-01-15,Americas,auction_settlement_terms,"Final Auction Settlement Terms for Caesars Entertainment Operating Company, Inc.",https://www.cdsdeterminationscommittees.org/cds/caesars-entertainment-operating-co/,http://assets.isda.org/media/248de382/93d813d2.pdf,347108,a74c334f230453a63006e3f0746bc3253515572c083e78d149227d526b8b6209,,,,,same file as: http://assets.isda.org/media/248de382/93d813d2.pdf/
pending,"Caesars Entertainment Operating Company, Inc.",2015-01-15,Americas,auction_settlement_terms,Blackline against Argentine Republic Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/caesars-entertainment-operating-co/,http://assets.isda.org/media/3540643c/0c23fb18.pdf,485091,c21924d51d1f6f975ee5e59855f5dc76d18aa6221ac960c43a19c24f08854709,,,,,
pending,"NOVO BANCO, S.A.",2017-07-24,EMEA,document,Deriv/ SERV Triggered Transaction Data (Category 3 transactions and Category 2 sub-category B transactions (other than Excluded Category 2 Transactions),https://www.cdsdeterminationscommittees.org/cds/novo-banco-s-a-3/,http://assets.isda.org/media/f253b540-191/fa58a8bb.docx,31743,5557c3fc8482c80cd50d7e619ded0e5c4c24a3a5eac3d363eb7152b09d44a956,,,,,
pending,Noble Group Limited,2018-03-21,Asia ex-Japan,auction_market_data,List of Participating Bidders in Noble Group Limited Failure to Pay Credit Event Auction,https://www.cdsdeterminationscommittees.org/cds/noble-group-limited-4/,http://assets.isda.org/media/f253b540-192/2220a6a6.docx,31368,a6d486c595940b7a80dfcc512f0c743b4b4bc754b44e8a19159082e2f171a325,,,,,
