date,reference_entity,committee,credit_event_type,credit_event_occurred,decision,issue_number,credit_event_ref,n_requests,n_documents,auction_date,auction_held,final_price,currency,days_to_auction,transaction_type,ticker,source,url,auction_url,notes,notes_source
2026-04-21,Liberty Interactive Llc,Unspecified,Bankruptcy,False,,,2026041701,1,11,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2026/04/liberty-interactive-llc-bankruptcy-credit-event-4-21-26.pdf/,,,
2025-08-08,Ardagh Packaging Finance PLC,EMEA,,True,,,2025100602,7,44,2026-03-11,True,33.9,EUR,215.0,Senior,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2025/08/ardagh-packaging-finance-plc-dc-decision-8-8-2025.pdf/,https://www.creditfixings.com/,"EMEA DC split on timing and escalated to an External Review Panel, which ruled (15 Dec 2025) a Restructuring Credit Event occurred by 29 Sep 2025 — a landmark holding that a binding TSA + consent solicitation can trigger Restructuring before the deal is implemented. ~$3.5bn gross notional across ~1,100 contracts.",https://www.jonesday.com/en/insights/2025/12/important-guidance-on-restructuring-credit-event-triggers-under-isda-definitions
2022-04-29,Preliminary List Russian Federation Potential Failure To Pay,Unspecified,Failure to Pay,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2022/04/preliminary-list-russian-federation-potential-failure-to-pay.pdf/,,"First sovereign trigger of the war: EMEA DC found a Failure to Pay (2022), but OFAC sanctions blocked settlement until US Treasury General License 46 authorised a bespoke auction process (settled Sep 2022).",https://www.alston.com/en/insights/publications/2022/07/russian-bond-default-and-cds-credit-event
2022-04-13,Russian Federation Potential Failure To Pay,Unspecified,Failure to Pay,False,,,2022040801,1,6,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2022/04/dc-decision-13-04-22-russian-federation-potential-failure-to-pay.pdf/,,"First sovereign trigger of the war: EMEA DC found a Failure to Pay (2022), but OFAC sanctions blocked settlement until US Treasury General License 46 authorised a bespoke auction process (settled Sep 2022).",https://www.alston.com/en/insights/publications/2022/07/russian-bond-default-and-cds-credit-event
2022-03-17,The Russian Federation Potential Rep Moratorium,Unspecified,Repudiation/Moratorium,False,,,2022030901,1,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2022/03/dc-decision-17-03-22-the-russian-federation-potential-rep-moratorium.pdf/,,"First sovereign trigger of the war: EMEA DC found a Failure to Pay (2022), but OFAC sanctions blocked settlement until US Treasury General License 46 authorised a bespoke auction process (settled Sep 2022).",https://www.alston.com/en/insights/publications/2022/07/russian-bond-default-and-cds-credit-event
2020-05-26,The Hertz Corporation,Americas,,True,,2020052502.0,2020052502,1,21,2020-06-24,True,26.375,USD,29.0,Senior,F-Hertz,document-feed,https://www.cdsdeterminationscommittees.org/documents/2020/05/americas-dc-decision-issue-number-2020052502-the-hertz-corporation-05-26-20.pdf/,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=F-Hertz,,
2019-09-24,Thomas Cook Bankruptcy Credit Event Liquidation Votes To Follow,Unspecified,Bankruptcy,False,,,2019092301,1,5,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2019/09/thomas-cook-bankruptcy-decision-24-september-2019.pdf/,,Bankruptcy Credit Event on the 23 Sep 2019 compulsory liquidation; notable for the CDS roll-date wrinkle (contracts expiring 20 Sep missed the trigger) and for hedge funds' CDS incentives complicating the failed rescue.,https://www.kramerlevin.com/en/perspectives-search/thomas-cook-cds-when-does-a-corporate-debt-reorganization-amount-to-a-bankruptcy-credit-event
2019-09-23,Thomas Cook,EMEA,Bankruptcy,False,,2019091701.0,2019091701,1,22,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2019/09/steinhoff-europe-ag-bankruptcy-chapter-15-decision-updated-to-reflect-votes-23-september-2019.pdf/,,Bankruptcy Credit Event on the 23 Sep 2019 compulsory liquidation; notable for the CDS roll-date wrinkle (contracts expiring 20 Sep missed the trigger) and for hedge funds' CDS incentives complicating the failed rescue.,https://www.kramerlevin.com/en/perspectives-search/thomas-cook-cds-when-does-a-corporate-debt-reorganization-amount-to-a-bankruptcy-credit-event
2019-09-23,Thomas Cook Failure To Pay,EMEA,Failure to Pay,False,,2020031901.0,2019091700,1,9,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2019/09/thomas-cook-failure-to-pay-decision-23-09-19.pdf/,,Bankruptcy Credit Event on the 23 Sep 2019 compulsory liquidation; notable for the CDS roll-date wrinkle (contracts expiring 20 Sep missed the trigger) and for hedge funds' CDS incentives complicating the failed rescue.,https://www.kramerlevin.com/en/perspectives-search/thomas-cook-cds-when-does-a-corporate-debt-reorganization-amount-to-a-bankruptcy-credit-event
2018-03-22,Noble,Asia ex-Japan,Restructuring,False,,9192017.0,2017082301,1,10,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2018/03/noble-group-announcement-of-restructuring.pdf/,,,
2017-10-03,In Banco Popular Restructuring,Unspecified,Restructuring,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2017/10/list-of-participating-bidders-in-banco-popular-restructuring-credit-event-auction.pdf/,,,
2017-09-18,In Banca Mps Governmental Intervention,Unspecified,Governmental Intervention,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2017/09/list-of-participating-bidders-in-banca-mps-2014-governmental-intervention-credit-event-auction.pdf/,,,
2017-09-11,In Norske Skogindustrier Asa Failure To Pay,Unspecified,Failure to Pay,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2017/09/list-of-participating-bidders-in-norske-skogindustrier-asa-failure-to-pay-credit-event-auction.pdf/,,,
2016-12-21,Iheart Vote Dec,Unspecified,Failure to Pay,False,,2016121601.0,2016121601,1,8,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/12/iheart-failure-to-pay-vote-dec-21.pdf/,,"Novel intercompany / 'orphaned' event: Americas DC voted 15-0 (Dec 2016) that iHeart's election not to repay $57m of notes held by its own subsidiary was a Failure to Pay, despite arguments the payment wasn't really 'due'. ~$154m settled.",https://www.lexology.com/library/detail.aspx?g=adac8169-f5e4-41ed-a078-74f2733fd645
2016-12-21,Iheart Restructuring Vote Dec,Unspecified,Restructuring,False,,,2016121901,1,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/12/iheart-restructuring-vote-dec-21.pdf/,,"Novel intercompany / 'orphaned' event: Americas DC voted 15-0 (Dec 2016) that iHeart's election not to repay $57m of notes held by its own subsidiary was a Failure to Pay, despite arguments the payment wasn't really 'due'. ~$154m settled.",https://www.lexology.com/library/detail.aspx?g=adac8169-f5e4-41ed-a078-74f2733fd645
2016-12-21,Iheart Failure To Pay Two Dec,Unspecified,Failure to Pay,False,,,2016122002,1,2,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/12/iheart-failure-to-pay-two-dec-21.pdf/,,"Novel intercompany / 'orphaned' event: Americas DC voted 15-0 (Dec 2016) that iHeart's election not to repay $57m of notes held by its own subsidiary was a Failure to Pay, despite arguments the payment wasn't really 'due'. ~$154m settled.",https://www.lexology.com/library/detail.aspx?g=adac8169-f5e4-41ed-a078-74f2733fd645
2016-12-21,Iheart Failure To Pay Three Dec,Unspecified,Failure to Pay,False,,,2016122101,1,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/12/iheart-failure-to-pay-three-dec-21.pdf/,,"Novel intercompany / 'orphaned' event: Americas DC voted 15-0 (Dec 2016) that iHeart's election not to repay $57m of notes held by its own subsidiary was a Failure to Pay, despite arguments the payment wasn't really 'due'. ~$154m settled.",https://www.lexology.com/library/detail.aspx?g=adac8169-f5e4-41ed-a078-74f2733fd645
2016-08-22,In Grupo Isolux Corsan Finance B V,Unspecified,Bankruptcy,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/08/list-of-participating-bidders-in-grupo-isolux-corsan-finance-b-v-bankruptcy-credit-event-auction.pdf/,,,
2016-07-19,In Portugal Telecom International Finance B V,Unspecified,Bankruptcy,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/07/list-of-participating-bidders-in-portugal-telecom-international-finance-b-v-bankruptcy-credit-event-auction.pdf/,,,
2016-06-21,In Norske Skogindustrier Asa Restructuring,Unspecified,Restructuring,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2016/06/list-of-participating-bidders-in-norske-skogindustrier-asa-restructuring-credit-event-auction.pdf/,,,
2014-08-06,Bes Bankruptcy Ce,EMEA,Bankruptcy,False,,6082014.0,2014080403,1,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2014/08/emea-dc-decision-06082014-bes-bankruptcy-ce.pdf/,,"BES's Aug-2014 resolution split it into a good bank (Novo Banco) and bad bank; ISDA ruled a succession transferring CDS to Novo Banco, then the 2015 bond retransfer stranded protection buyers (see Novo Banco).",https://www.spglobal.com/marketintelligence/en/mi/research-analysis/08082014120606Banco-Espirito-Santo-creates-a-CDS-orphan.html
2014-06-20,Argentina Potential Repudiation Moratorium,Unspecified,Repudiation/Moratorium,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2014/06/argentina-potential-repudiation_moratorium.pdf/,,Failure to Pay (30 Jul 2014) after Judge Griesa's pari passu injunction blocked payment to exchange bondholders unless holdouts were paid — a 'won't-pay vs can't-pay' selective default. Auction settled at 39.5. (Argentina also had a separate 2020 restructuring.),https://www.isda.org/2014/09/03/isda-americas-credit-derivatives-determinations-committee-cds-auction-relating-to-the-argentine-republic/
2013-03-04,Sns Bank N V Restructuring,Unspecified,Restructuring,False,,,,0,1,,False,,,,,,document-feed,https://www.cdsdeterminationscommittees.org/documents/2013/03/determinations-committee-sns-bank-n-v-restructuring-credit-event.pdf/,,"Restructuring Credit Event (Feb 2013) after the Dutch state expropriated SNS Reaal's subordinated debt; with the sub bonds expropriated there were none to auction, so settlement ran on senior bonds — a gap that drove the new 2014 Governmental Intervention trigger.",https://www.isda.org/2013/02/13/isda-emea-credit-derivatives-determinations-committee-sns-bank-restructuring-credit-event/
2012-03-20,ERC Ireland Finance Limited,EMEA,Restructuring,False,Determination published,,2012031601,1,1,,False,,,,,,reference,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decisions_20032012ERC.pdf,,,
2009-12-09,Hellas Telecommunications,EMEA,Bankruptcy,False,Determination published,,2009111801,1,1,,False,,,,,,reference,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_2009091203.pdf,,,
